web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1758193850-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","2.5 Zimmer, 82m², CHF 2’040.–","Hobelwerkweg 25, 8404 Winterthur","CHF 2’040.–","Suchen Sie eine trendige Wohnung?","Die LageUrban und gleichzeitig kinderfreundlich präsentiert sich der Stadtteil Oberwinterthur. Im alten Dorfkern und rund um den Bahnhof bietet das grösste Quartier der Stadt ideale Geschäfts- und Einkaufsmöglichkeiten. Schulen und Kindergärten liegen in unmittelbarer Nähe der Wohnüberbauung.Naherholungsgebiete mit Seen und Wäldern zum Wandern, Joggen und Velofahren liegen nur wenige Gehminuten entfernt.Im Takt ist in mehrfacher Hinsicht optimal gelegen. Die Winterthurer Stadtbusse und direkte S-Bahn-Züge nach Zürich halten praktisch vor der Haustüre. Der Flughafen Zürich ist ebenso schnell erreichbar wie die malerische Landschaft des Zürcher Oberlands und der Ostschweiz.Ein Rundgang durch die WohnungDer durchdachte Grundriss lässt Ihnen Freiheiten sich auf 81m2 individuell einzurichten. Dank der intelligenten Raumaufteilung verfügt die Wohnung über geräumige Zimmer und viel Stauraum. Der wunderschöne dunkle Akazienholzparkettboden in allen Wohnräumen sorgt für eine behaglich warme Atmosphäre. Weiter bietet Ihnen diese trendige Wohnung folgende Vorzüge:- offene, moderne Küche- Badezimmer mit Badewanne/WC- eigener Waschturm im Reduit- Raumhohe Fenster- Wohn-/Esszimmer mit Zugang zum Balkon- Das Reduit in der Wohnung sowie das Kellerabteil bieten zusätzlichen Stauraum- Komfortlüftung sorgt bei geschlossenen Fenstern für ein angenehmes Wohnklima und saubere Luft- Lift bis in die TiefgarageDetailsEin Einstellplatz in der Tiefgarage kann auf Wunsch dazu gemietet werden. In der Überbauung befindet sich ein origineller Spielplatz.Anschreiben. Besichtigen. Mieten.Wann möchten Sie Ihre zukünftige Aussicht besichtigen? Wir freuen uns auf Ihre Kontaktaufnahme!Der Besichtigungstermin findet wie folgt statt:Dienstag, 09.09.2025 von 18:00 Uhr bis 18:30 Uhr. Klingeln Sie bitte bei ""V. Özkan"".Wir freuen uns auf Ihre Bewerbung! Als Mieter von Helvetia profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete Bei den publizierten Bildern handelt es sich um typenähnliche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich."
"1758193850-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","1.5 Zimmer, 36m², CHF 2’100.–","Zürcherstrasse 143, 8406 Winterthur","CHF 2’100.–","BUSINESS APARTMENT - Voll möbliert","An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 1.5-Zimmer-Wohnung. Die Wohnung ist in einem modernen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt über eine Loggia, grosse Dusche mit Glastrennwand, eigene WM/TU, eine moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich zahlreiche Restaurants, Einkaufsmöglichkeiten und Sportplätze. VARIAS Business Apartments ist ein Konzept, das sich perfekt für reisende Geschäftsleute anbietet. Flexible Aufenthalte, kurzfristige Einzugsmöglichkeiten, qualitativ hochwertige Design-Elemente, funktionsfähiges W-Lan und ein betriebsbereiter Drucker sind einige Annehmlichkeiten von VARIAS Business Apartments. Sie müssen kein Depot bezahlen und können sofort einziehen. Die Wohnung ist voll ausgestattet und bezugsbereit. • 1.5 Zimmer, 36qm • Mit dem Bus in 8 Minuten zum Hauptbahnhof Winterthur • Moderne und hochwertige Möblierung (USM Haller) • Vollausgestattete Küche mit Kühlschrank, Gefrierfach, Keramikherd • Nespresso Kaffeemaschine, Teekocher • Waschmaschine und Trockner im Apartment • Schlafzimmer/Wohnzimmer mit Bett • Einbauschränke • Badezimmmer mit Toilette und Dusche • HD 32"" LED Kabel-TV • Elektrisch bedienbare Rafflamellenstoren Bei Fragen kontaktieren Sie bitte Tarcisi Schorr Tel.: 052 208 10 08 I booking@variasapartments.chhttps://www.variasapartments.ch/en/apartments/"
"1758193850-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 121m², CHF 3’730.–","Schachenweg 55, 8400 Winterthur","CHF 3’730.–","",""
"1758193850-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 120m², CHF 2’225.–","Arbergstrasse 5, 8405 Winterthur","CHF 2’225.–","",""
"1758193850-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","6 Zimmer, 260m², CHF 4’380.–","Gütlistrasse 15, 8400 Winterthur","CHF 4’380.–","",""
"1758193850-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, 98m², CHF 2’450.–","Maienriedweg 16, 8408 Winterthur","CHF 2’450.–","komfortables ruhiges Wohnung auf der Sonnenseite von Wülflingen",""
"1758193850-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","2.5 Zimmer, 66m², CHF 1’890.–","Bollstrasse 64, 8405 Winterthur","CHF 1’890.–","Moderne, stadtnahe 2.5-Zimmer-Wohnung mit stilvollem Innenausbau",""
"1758193850-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, 89m², CHF 2’500.–","Schlosshofstrasse 17, 8400 Winterthur","CHF 2’500.–","Werk 3 - rundum attrakiv leben im 1. Obergeschoss",""
"1758193850-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, 95m², CHF 2’540.–","Schlosshofstrasse 15, 8400 Winterthur","CHF 2’540.–","Werk 3 - rundum attraktiv",""
"1758193850-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, CHF 2’750.–","Hermannstrasse 22, 8400 Winterthur","CHF 2’750.–","Wohnen an privilegierter Lage im Herzen von Winterthur",""
